Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems
Labrador Retriever,Canada,"Yellow, Black, Chocolate",21-24,Brown,10-12,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
German Shepherd,Germany,"Black, Tan",22-26,Brown,7-10,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Bulldog,England,"White, Red",12-16,Brown,8-10,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity"
Poodle,France,"White, Black, Brown, Apricot",10-15,"Brown, Blue",12-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Beagle,England,"White, Tan, Red, Lemon",13-15,Brown,12-15,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Chihuahua,Mexico,"Black, Brown, Tan, White",6-9,"Brown, Blue",12-20,"Loyal, energetic, confident, sensitive","Dental problems, eye issues, respiratory issues"
Boxer,Germany,"Fawn, Brindle",21-25,Brown,10-12,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Pug,China,"Fawn, Black",10-14,Brown,12-15,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity"
Rottweiler,Germany,"Black, Tan",22-27,Brown,8-10,"Loyal, protective, confident, strong","Hip dysplasia, cancer, elbow dysplasia"
Siberian Husky,Russia,"Black, White",21-24,Blue,12-15,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy"
Dachshund,Germany,"Black, Tan",5-9,"Brown, Blue",12-15,"Loyal, energetic, playful, curious","Intervertebral disc disease, hip dysplasia, diabetes"
Shih Tzu,China,"Black, White, Brown",9-10,Brown,10-16,"Affectionate, playful, confident, good-natured","Dental problems, respiratory issues, eye problems"
Bichon Frise,France,White,9-11,Brown,12-15,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones"
Australian Shepherd,Australia,"Black, Red",18-23,"Brown, Blue",12-15,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Basset Hound,France,"Black, Tan",11-15,Brown,10-12,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Cocker Spaniel,England,"Black, Brown",14-15,Brown,12-15,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
French Bulldog,France,"White, Black, Brindle",11-12,Brown,10-12,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Pomeranian,Germany,"Orange, Sable, Black",6-7,Brown,12-16,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Great Dane,Germany,"Black, Blue, Fawn, Harlequin",28-34,Brown,8-10,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Mastiff,England,"Apricot, Fawn",30-34,Brown,8-10,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Newfoundland,Canada,"Black, Brown, Grey",26-28,Brown,9-11,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Saint Bernard,Switzerland,"Red, White",26-30,Brown,8-10,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Old English Sheepdog,England,"Blue, Grey",22-26,Brown,10-12,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Irish Wolfhound,Ireland,"Grey, Red, Black",30-35,Brown,6-8,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Greyhound,England,"Black, White, Brindle",26-30,Brown,10-12,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Scottish Deerhound,Scotland,"Blue, Grey",28-32,Brown,8-10,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Great Pyrenees,France,White,25-32,Brown,10-12,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Shar Pei,China,"Cream, Fawn",18-20,Brown,8-12,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Doberman Pinscher,Germany,"Black, Red",24-28,Brown,10-12,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Weimaraner,Germany,"Silver, Grey",25-29,"Blue, Grey",10-12,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Belgian Malinois,Belgium,"Fawn, Mahogany",22-26,Brown,12-14,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Rhodesian Ridgeback,Rhodesia,Light Wheaten,25-27,Brown,10-12,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
English Setter,England,"Black, White, Liver",23-27,Brown,12-15,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Pointer,England,"Black, White, Liver",21-27,Brown,12-15,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Gordon Setter,Scotland,"Black, Tan",23-27,Brown,12-15,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Irish Setter,Ireland,Red,24-28,Brown,12-15,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Papillon,France,"White, Black, Sable, Red",8-11,Brown,14-16,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Pekingese,China,"Black, White, Red",6-9,Brown,12-15,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Toy Poodle,France,"White, Black, Brown, Apricot",10-11,"Brown, Blue",12-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Miniature Poodle,France,"White, Black, Brown, Apricot",10-15,"Brown, Blue",12-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Standard Poodle,France,"White, Black, Brown, Apricot",15-22,"Brown, Blue",12-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Affenpinscher,Germany,"Black, Brown, Red",9-11,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Boston Terrier,United States,"Black, White",15-17,Brown,11-13,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
Brussels Griffon,Belgium,"Black, Red",7-10,Brown,12-15,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
Cairn Terrier,Scotland,"Black, Wheaten, Red",10-12,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Chinese Crested,China,"Pink, White, Black",11-13,Brown,13-18,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Miniature Schnauzer,Germany,"Black, Salt & Pepper, White",12-14,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Standard Schnauzer,Germany,"Black, Salt & Pepper",18-20,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
West Highland White Terrier,Scotland,White,11-12,Brown,12-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Terrier,Australia,"Red, Black & Tan",10-11,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Border Terrier,England,"Red, Wheaten, Black",10-16,Brown,12-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Coton de Tulear,Madagascar,White,9-11,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
English Toy Spaniel,England,"White, Blenheim",10-12,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Stumpy Tail Cattle Dog,Australia,"Red, Black",17-20,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pug,China,"Black, Fawn",10-14,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
American Eskimo Dog,United States,White,15-19,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Cattle Dog,Australia,"Blue, Red",17-20,Brown,12-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Basset Hound,France,"Black, White, Red",11-15,Brown,10-12,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Australian Kelpie,Australia,"Red, Black",17-20,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Bloodhound,England,"Red, Black",22-27,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Border Collie,England,"Black, White, Red",18-22,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Shepherd,Australia,Blue Merle,20-23,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
American Bulldog,United States,"White, Red",20-28,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Australian Shepherd,Australia,"Black, Red",18-23,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Borzoi,Russia,"White, Cream, Red",26-29,Brown,10-12,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Bull Terrier,England,"White, Red",20-22,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Cane Corso,Italy,"Black, Red",22-28,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Cardigan Welsh Corgi,Wales,"Red, Sable, Black",10-12,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Chesapeake Bay Retriever,United States,"Brown, Tan",21-26,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Saluki,Middle East,"Cream, Red",23-28,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
English Setter,England,"Liver, Blue",25-27,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Springer Spaniel,England,"Black, White, Liver",20-24,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Field Spaniel,England,"Black, Liver",15-18,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Finnish Spitz,Finland,"Red, Golden",15-20,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Flat-Coated Retriever,England,"Black, Liver",22-25,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Terrier,Australia,Red,10-11,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Giant Schnauzer,Germany,"Black, Salt & Pepper",25-28,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Golden Retriever,Scotland,Gold,21-24,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,Scotland,"Black, Tan",24-27,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,Australia,"Blue, Red",17-20,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Greyhound,England,"White, Black, Red",26-30,Brown,10-12,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Harrier,England,"Red, Black & Tan",18-21,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Setter,Ireland,Red,26-28,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Terrier,Ireland,Red,14-16,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Water Spaniel,Ireland,Brown,21-24,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Wolfhound,Ireland,"Grey, Red",30-35,Brown,6-10,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Italian Greyhound,Italy,"Red, Black",13-15,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Jack Russell Terrier,England,"White, Black & Tan",10-12,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Japanese Chin,Japan,"Black, Red",7-11,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Keeshond,Netherlands,"Black, Cream",17-19,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kerry Blue Terrier,Ireland,Blue,17-19,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kuvasz,Hungary,White,25-29,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Lhasa Apso,Tibet,"Black, White",10-11,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Maltese,Malta,White,8-10,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Pinscher,Germany,"Red, Stag Red",10-12,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Samoyed,Russia,White,21-23,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Shetland Sheepdog,Scotland,"Sable, Black",13-16,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Staffordshire Bull Terrier,England,"White, Black, Red",14-16,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Vizsla,Hungary,Red,20-24,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Anatolian Shepherd,Turkey,Fawn,27-29,Brown,12-14,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Welsh Corgi,Wales,"Red, Sable",10-12,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Springer Spaniel,Wales,"Liver, White",20-25,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Terrier,Wales,"Black, Tan",10-12,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
West Highland White Terrier,Scotland,White,10-12,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Whippet,England,"White, Black, Red",18-22,Brown,12-15,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Wirehaired Pointing Griffon,Belgium,"Brown, White",21-24,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Xoloitzcuintli,Mexico,"Black, Red",10-14,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Yorkshire Terrier,England,Blue & Tan,7-8,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Akita,Japan,"Red, Fawn, Sesame",24-28,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Africanis,Africa,"Brown, Red",22-25,Brown,12-15,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Basenji,Congo,"Red, Black & White",16-17,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Catahoula Leopard Dog,United States,"Merle, Black",20-26,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Cocker Spaniel,England,"Black, Brown",14-15,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Shiba Inu,Japan,"Red, Sesame",13-16,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Belgian Tervuren,Belgium,Fawn,22-26,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pharaoh Hound,Malta,Red,21-25,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"